,Rookie_Cap,pred_AV,AV_percentile,Market_Cap
1,3.4552342559978264,0.7155870922113242,88.7,18.239
2,3.228395663257133,0.7022543412656739,88.0,17.976
3,3.0112207854227955,0.6894093318719856,88.0,17.976
4,2.804703300945323,0.6770257807810404,87.3,17.717
5,2.609695256679512,0.665079259877619,84.0,16.546
6,2.426907067884444,0.6535470353438685,84.0,16.546
7,2.256907518223489,0.6424079232705503,82.0,15.874
8,2.1001237597643025,0.6316421597866803,80.7,15.452
9,1.9568413129788271,0.6212312840324935,78.7,14.825
10,1.827204066743292,0.611158032517955,78.0,14.611
11,1.7112142783382118,0.6014062435951185,78.0,14.611
12,1.6087325734483895,0.5919607709324274,77.3,14.401
13,1.5194779461629129,0.5828074050165852,76.0,14.018
14,1.4430277589751568,0.5739328018263333,74.7,13.645
15,1.3788177427827848,0.565324417925132,73.3,13.255
16,1.326141996887744,0.5569704513087718,72.7,13.091
17,1.28415298899627,0.5488597874212847,72.0,12.903
18,1.2518615552188832,0.5409819498198893,70.7,12.56
19,1.2281369000703926,0.5333270550284805,70.0,12.379
20,1.211706596469893,0.5258857711705812,70.0,12.379
21,1.201156585740765,0.5186492800176981,68.7,12.05
22,1.1949311776106772,0.5116092421285655,68.7,12.05
23,1.191333050211584,0.5047577647895226,68.7,12.05
24,1.1885232500797258,0.4980873724969059,65.3,11.23
25,1.1845211921556298,0.4915909797493717,65.3,11.23
26,1.177204659784112,0.4852618659419747,65.3,11.23
27,1.1643098047142706,0.4790936521749871,65.3,11.23
28,1.1434311470994958,0.47308027980923323,65.3,11.23
29,1.1120215754974585,0.4672159906163871,65.3,11.23
30,1.067392346870122,0.46149530838753267,64.7,11.091
31,1.0067130865837308,0.45591302187650923,64.7,11.091
32,0.9270117884088208,0.4504641689663758,64.0,10.931
33,0.8137785587340705,0.4451440219578733,64.0,10.931
34,0.8078945117422096,0.4399480738882111,63.3,10.774
35,0.8008061934689708,0.4348720257969628,63.3,10.774
36,0.792609830260854,0.42991177486345095,62.7,10.641
37,0.7834016484643622,0.42506340334682174,62.7,10.641
38,0.7732778744259949,0.4203231682661515,62.7,10.641
39,0.7623347344922546,0.41568749176345066,62.7,10.641
40,0.7506684550096423,0.41115295209742103,62.7,10.641
41,0.7383752623246587,0.40671627522032155,62.7,10.641
42,0.7255513827838056,0.4023743268943669,62.7,10.641
43,0.7122930427335836,0.3981241053077662,60.7,10.209
44,0.6986964685204957,0.3939627341538445,60.7,10.209
45,0.6848578864910403,0.3898874561397149,60.7,10.209
46,0.6708735229917215,0.3858956268937168,60.7,10.209
47,0.656839604369039,0.38198470924332895,60.0,10.062
48,0.6428523569694944,0.3781522678375409,58.7,9.794
49,0.6290080071395884,0.37439596408972936,57.3,9.514
50,0.6154027812258229,0.37071355141897455,56.7,9.396
51,0.6021329055746999,0.3671028707694685,56.7,9.396
52,0.5892946065327185,0.36356184638923833,56.7,9.396
53,0.5769841104463821,0.36008848185084263,56.7,9.396
54,0.5652976436621913,0.3566808562980124,56.0,9.261
55,0.5543314325266464,0.35333712090340824,56.0,9.261
56,0.5441817033862497,0.3500554955237704,56.0,9.261
57,0.5349446825875015,0.346834265539745,56.0,9.261
58,0.5267165964769047,0.3436717788686003,56.0,9.261
59,0.5195936714009588,0.340566443138897,56.0,9.261
60,0.5136721337061669,0.3375167230169616,56.0,9.261
61,0.5090482097390285,0.3345211376757296,56.0,9.261
62,0.5058181258460449,0.33157825839719396,51.3,8.402
63,0.504078108373719,0.328686706300301,51.3,8.402
64,0.5039243836685503,0.32584515018670285,51.3,8.402
65,0.466380538987196,0.3230523044972956,51.3,8.402
66,0.4651934880077536,0.32030692737295213,51.3,8.402
67,0.4640064370283111,0.31760781881330413,51.3,8.402
68,0.4628193860488687,0.3149538189278376,51.3,8.402
69,0.4616323350694263,0.31234380627394726,51.3,8.402
70,0.4604452840899838,0.30977669627694665,51.3,8.402
71,0.4592582331105415,0.3072514397273573,51.3,8.402
72,0.458071182131099,0.30476702135110334,51.3,8.402
73,0.4568841311516566,0.30232245844851685,51.3,8.402
74,0.4556970801722141,0.29991679959832296,51.3,8.402
75,0.4545100291927717,0.29754912342301193,51.3,8.402
76,0.4533229782133293,0.2952185374122341,51.3,8.402
77,0.4521359272338869,0.2929241768010599,50.7,8.298
78,0.4509488762544444,0.2906652035001441,50.0,8.178
79,0.449761825275002,0.2884408050750129,50.0,8.178
80,0.4485747742955596,0.28625019377186356,50.0,8.178
81,0.4473877233161172,0.28409260558742094,48.0,7.846
82,0.4462006723366747,0.28196729938054543,48.0,7.846
83,0.4450136213572323,0.27987355602342084,47.3,7.733
84,0.4438265703777899,0.27781067759028055,47.3,7.733
85,0.4426395193983474,0.27577798658174973,46.7,7.638
86,0.441452468418905,0.27377482518299207,46.7,7.638
87,0.4402654174394626,0.2718005545539547,46.0,7.528
88,0.4390783664600202,0.269854554150103,46.0,7.528
89,0.4378913154805777,0.2679362210721279,46.0,7.528
90,0.4367042645011353,0.2660449694431934,45.3,7.419
91,0.4355172135216929,0.2641802298123749,45.3,7.419
92,0.4343301625422505,0.2623414485830101,45.3,7.419
93,0.433143111562808,0.2605280874647586,45.3,7.419
94,0.4319560605833656,0.25873962294823016,45.3,7.419
95,0.4307690096039231,0.2569755458011051,45.3,7.419
96,0.4295819586244808,0.255235360584727,45.3,7.419
97,0.4283949076450383,0.25351858519020537,45.3,7.419
98,0.4272078566655959,0.2518247503931146,45.3,7.419
99,0.4260208056861534,0.25015339942592496,45.3,7.419
100,0.424833754706711,0.24850408756734907,42.0,6.929
101,0.4236467037272686,0.2468763817478263,42.0,6.929
102,0.4224596527478262,0.24526986017041075,41.3,6.829
103,0.4212726017683837,0.24368411194636608,41.3,6.829
104,0.4200855507889413,0.24211873674480544,41.3,6.829
105,0.4188984998094989,0.24057334445574874,41.3,6.829
106,0.4177114488300565,0.23904755486600235,41.3,6.829
107,0.416524397850614,0.23754099734729459,41.3,6.829
108,0.4153373468711716,0.2360533105561306,41.3,6.829
109,0.4141502958917292,0.23458414214485543,41.3,6.829
110,0.4129632449122867,0.23313314848344038,41.3,6.829
111,0.4117761939328443,0.23169999439153074,41.3,6.829
112,0.4105891429534019,0.23028435288031662,40.7,6.744
113,0.4094020919739595,0.22888590490380917,40.7,6.744
114,0.408215040994517,0.22750433911912402,40.7,6.744
115,0.4070279900150746,0.22613935165539495,40.7,6.744
116,0.4058409390356322,0.22479064589095657,40.0,6.647
117,0.4046538880561898,0.22345793223845284,40.0,6.647
118,0.4034668370767473,0.2221409279375451,38.7,6.471
119,0.4022797860973049,0.22083935685490733,38.7,6.471
120,0.4010927351178625,0.21955294929121144,38.7,6.471
121,0.3999056841384201,0.21828144179481984,38.7,6.471
122,0.3987186331589776,0.21702457698191452,38.7,6.471
123,0.3975315821795352,0.21578210336280432,38.7,6.471
124,0.3963445312000928,0.214553775174165,38.7,6.471
125,0.3951574802206503,0.21333935221697672,38.7,6.471
126,0.3939704292412079,0.21213859969993412,38.7,6.471
127,0.3927833782617655,0.210951288088115,38.7,6.471
128,0.3915963272823231,0.20977719295670275,38.0,6.377
129,0.3904092763028806,0.20861609484956622,38.0,6.377
130,0.3892222253234382,0.20746777914251077,38.0,6.377
131,0.3880351743439958,0.2063320359110204,38.0,6.377
132,0.3868481233645534,0.2052086598023206,38.0,6.377
133,0.3856610723851109,0.20409744991159803,38.0,6.377
134,0.3844740214056685,0.20299820966222007,38.0,6.377
135,0.383286970426226,0.20191074668980405,38.0,6.377
136,0.3820999194467837,0.20083487272999342,38.0,6.377
137,0.3809128684673412,0.19977040350980257,36.7,6.208
138,0.3797258174878988,0.19871715864239853,36.7,6.208
139,0.3785387665084563,0.19767496152519395,36.7,6.208
140,0.3773517155290139,0.1966436392411303,36.7,6.208
141,0.3761646645495715,0.1956230224630347,36.7,6.208
142,0.3749776135701291,0.19461294536094031,36.7,6.208
143,0.3737905625906866,0.1936132455122629,36.7,6.208
144,0.3726035116112442,0.1926237638147318,36.7,6.208
145,0.3714164606318018,0.1916443444019774,36.7,6.208
146,0.3702294096523594,0.19067483456168027,36.7,6.208
147,0.3690423586729169,0.18971508465619297,36.0,6.118
148,0.3678553076934745,0.18876494804554636,36.0,6.118
149,0.3666682567140321,0.18782428101275875,36.0,6.118
150,0.3654812057345896,0.18689294269136653,36.0,6.118
151,0.3642941547551472,0.1859707949951006,36.0,6.118
152,0.3631071037757048,0.18505770254963452,36.0,6.118
153,0.3619200527962624,0.18415353262633327,36.0,6.118
154,0.36073300181682,0.1832581550779348,36.0,6.118
155,0.3595459508373775,0.18237144227609894,36.0,6.118
156,0.3583588998579351,0.18149326905076058,36.0,6.118
157,0.3571718488784927,0.18062351263122658,36.0,6.118
158,0.3559847978990502,0.1797620525889584,36.0,6.118
159,0.3547977469196078,0.17890877078198422,36.0,6.118
160,0.3536106959401653,0.17806355130088675,36.0,6.118
161,0.352423644960723,0.1772262804163148,36.0,6.118
162,0.3512365939812805,0.1763968465279689,36.0,6.118
163,0.3500495430018381,0.17557514011501263,36.0,6.118
164,0.3488624920223957,0.1747610536878636,36.0,6.118
165,0.3476754410429532,0.17395448174131928,36.0,6.118
166,0.3464883900635108,0.17315532070897516,36.0,6.118
167,0.3453013390840684,0.17236346891889323,36.0,6.118
168,0.3441142881046259,0.17157882655048165,36.0,6.118
169,0.3429272371251836,0.1708012955925467,36.0,6.118
170,0.3417401861457411,0.17003077980248,36.0,6.118
171,0.3405531351662987,0.16926718466654597,36.0,6.118
172,0.3393660841868562,0.1685104173612338,36.0,6.118
173,0.3381790332074138,0.16776038671564214,36.0,6.118
174,0.3421027801323675,0.16701700317486387,36.0,6.118
175,0.3418748231279675,0.16628017876433956,35.3,6.03
176,0.3416468661235675,0.165549827055151,35.3,6.03
177,0.3414189091191674,0.16482586313022493,35.3,6.03
178,0.3411909521147674,0.16410820355141986,35.3,6.03
179,0.3409629951103674,0.16339676632746897,35.3,6.03
180,0.3407350381059673,0.16269147088275313,35.3,6.03
181,0.3405070811015673,0.16199223802687943,35.3,6.03
182,0.3402791240971672,0.16129898992504058,35.3,6.03
183,0.3400511670927672,0.1606116500691325,35.3,6.03
184,0.3398232100883672,0.1599301432496067,35.3,6.03
185,0.3395952530839671,0.15925439552803666,34.7,5.956
186,0.3393672960795671,0.1585843342103768,34.7,5.956
187,0.3391393390751671,0.1579198878208934,34.7,5.956
188,0.338911382070767,0.15726098607674835,34.7,5.956
189,0.338683425066367,0.1566075598632166,34.7,5.956
190,0.3384554680619669,0.15595954120951847,34.7,5.956
191,0.338227511057567,0.15531686326525024,34.7,5.956
192,0.3379995540531669,0.15467946027739424,34.7,5.956
193,0.3377715970487669,0.1540472675678934,34.7,5.956
194,0.3375436400443669,0.15342022151177312,34.7,5.956
195,0.3373156830399668,0.1527982595157956,34.7,5.956
196,0.3370877260355668,0.15218131999763068,34.7,5.956
197,0.3368597690311667,0.15156934236553016,34.7,5.956
198,0.3366318120267667,0.1509622669984897,34.7,5.956
199,0.3364038550223667,0.15036003522688612,34.7,5.956
200,0.3361758980179666,0.1497625893135762,34.7,5.956
201,0.3359479410135666,0.14916987243544405,34.7,5.956
202,0.3357199840091666,0.1485818286653853,34.7,5.956
203,0.3354920270047665,0.14799840295471556,34.7,5.956
204,0.3352640700003665,0.14741954111599168,34.7,5.956
205,0.3350361129959665,0.1468451898062346,34.7,5.956
206,0.3348081559915664,0.14627529651054297,34.7,5.956
207,0.3345801989871664,0.1457098095260868,34.7,5.956
208,0.3343522419827663,0.14514867794647093,34.7,5.956
209,0.3341242849783663,0.14459185164645824,34.7,5.956
210,0.3338963279739663,0.1440392812670436,34.7,5.956
211,0.3336683709695662,0.14349091820086834,34.7,5.956
212,0.3334404139651662,0.14294671457796684,34.7,5.956
213,0.3332124569607662,0.14240662325183617,33.3,5.785
214,0.3329844999563661,0.14187059778582026,33.3,5.785
215,0.3327565429519661,0.14133859243980065,33.3,5.785
216,0.332528585947566,0.14081056215718535,33.3,5.785
217,0.332300628943166,0.14028646255218835,33.3,5.785
218,0.332072671938766,0.1397662498973921,33.3,5.785
219,0.3318447149343659,0.13924988111158593,33.3,5.785
220,0.3316167579299659,0.13873731374787265,33.3,5.785
221,0.3313888009255659,0.1382285059820372,33.3,5.785
222,0.3311608439211658,0.13772341660117018,33.3,5.785
223,0.3309328869167658,0.13722200499253992,33.3,5.785
224,0.3307049299123658,0.13672423113270665,33.3,5.785
225,0.3304769729079657,0.136230055576873,33.3,5.785
226,0.3302490159035657,0.13573943944846423,33.3,5.785
227,0.3300210588991656,0.13525234442893316,33.3,5.785
228,0.3297931018947656,0.1347687327477837,33.3,5.785
229,0.3295651448903656,0.13428856717280754,33.3,5.785
230,0.3293371878859655,0.13381181100052889,33.3,5.785
