,Rookie_Cap,pred_AV,AV_percentile,Market_Cap
1,3.4552342559978264,0.4082278287907771,94.3,6.167
2,3.228395663257133,0.4037832514448765,94.1,6.12
3,3.0112207854227955,0.399389076939092,94.0,6.097
4,2.804703300945323,0.3950449940031082,93.8,6.051
5,2.609695256679512,0.39075069136660967,93.7,6.029
6,2.426907067884444,0.38650585775928104,93.7,6.029
7,2.256907518223489,0.3823101819108067,93.4,5.963
8,2.1001237597643025,0.3781633525508713,93.3,5.941
9,1.9568413129788271,0.3740650584091594,93.0,5.878
10,1.827204066743292,0.37001498821535544,93.0,5.878
11,1.7112142783382118,0.36601283069914403,92.8,5.837
12,1.6087325734483895,0.3620582745902098,92.7,5.817
13,1.5194779461629129,0.3581510086182372,92.5,5.777
14,1.4430277589751568,0.35429072151291074,92.2,5.719
15,1.3788177427827848,0.350477102003915,91.9,5.663
16,1.326141996887744,0.34670983882093465,91.1,5.521
17,1.28415298899627,0.34298862069365404,90.9,5.487
18,1.2518615552188832,0.33931313635175786,90.6,5.437
19,1.2281369000703926,0.3356830745249306,90.5,5.421
20,1.211706596469893,0.3320981239428568,89.7,5.295
21,1.201156585740765,0.3285579733352211,89.4,5.251
22,1.1949311776106772,0.3250623114317079,89.3,5.236
23,1.191333050211584,0.32161082696200183,89.1,5.207
24,1.1885232500797258,0.31820320865578744,88.4,5.109
25,1.1845211921556298,0.3148391452427492,87.8,5.03
26,1.177204659784112,0.3115183254525718,86.7,4.893
27,1.1643098047142706,0.30824043801493967,85.9,4.8
28,1.1434311470994958,0.30500517165953733,85.8,4.789
29,1.1120215754974585,0.3018122151160495,85.3,4.734
30,1.067392346870122,0.2986612571141605,84.6,4.66
31,1.0067130865837308,0.29555198638355507,84.6,4.66
32,0.9270117884088208,0.2924840916539177,83.9,4.59
33,0.8137785587340705,0.28945726165493285,83.1,4.513
34,0.8078945117422096,0.28647118511628517,82.8,4.485
35,0.8008061934689708,0.2835255507676592,82.1,4.422
36,0.792609830260854,0.28062004733873935,81.4,4.362
37,0.7834016484643622,0.27775436355921035,80.9,4.32
38,0.7732778744259949,0.2749281881587567,80.8,4.312
39,0.7623347344922546,0.27214120986706286,80.2,4.264
40,0.7506684550096423,0.26939311741381344,79.5,4.21
41,0.7383752623246587,0.266683599528693,78.9,4.165
42,0.7255513827838056,0.26401234494138603,78.2,4.114
43,0.7122930427335836,0.26137904238157716,77.7,4.079
44,0.6986964685204957,0.2587833805789509,76.8,4.018
45,0.6848578864910403,0.2562250482631918,75.7,3.948
46,0.6708735229917215,0.25370373416398434,75.5,3.935
47,0.656839604369039,0.2512191270110132,75.2,3.917
48,0.6428523569694944,0.24877091553396274,73.9,3.839
49,0.6290080071395884,0.2463587884625177,73.8,3.834
50,0.6154027812258229,0.2439824345263625,73.3,3.805
51,0.6021329055746999,0.24164154245518174,73.0,3.789
52,0.5892946065327185,0.23933580097865997,72.3,3.75
53,0.5769841104463821,0.23706489882648174,72.1,3.74
54,0.5652976436621913,0.23482852472833157,71.1,3.688
55,0.5543314325266464,0.232626367413894,70.8,3.672
56,0.5441817033862497,0.23045811561285362,69.5,3.609
57,0.5349446825875015,0.22832345805489493,69.2,3.594
58,0.5267165964769047,0.2262220834697025,68.9,3.58
59,0.5195936714009588,0.22415368058696086,68.9,3.58
60,0.5136721337061669,0.22211793813635458,68.0,3.539
61,0.5090482097390285,0.22011454484756823,67.7,3.525
62,0.5058181258460449,0.2181431894502863,67.4,3.512
63,0.504078108373719,0.21620356067419338,67.3,3.508
64,0.5039243836685503,0.214295347248974,67.2,3.503
65,0.466380538987196,0.21241823790431272,66.4,3.469
66,0.4651934880077536,0.21057192136989403,65.8,3.444
67,0.4640064370283111,0.20875608637540258,65.5,3.431
68,0.4628193860488687,0.2069704216505228,65.4,3.427
69,0.4616323350694263,0.2052146159249393,65.1,3.415
70,0.4604452840899838,0.20348835792833664,64.5,3.391
71,0.4592582331105415,0.20179133639039937,64.4,3.387
72,0.458071182131099,0.20012324004081197,64.4,3.387
73,0.4568841311516566,0.19848375760925904,62.9,3.329
74,0.4556970801722141,0.1968725778254251,62.6,3.318
75,0.4545100291927717,0.1952893894189948,62.5,3.314
