,Perc
1,3.4552342559978264
2,3.228395663257133
3,3.0112207854227955
4,2.804703300945323
5,2.6096952566795117
6,2.4269070678844438
7,2.256907518223489
8,2.1001237597643025
9,1.9568413129788271
10,1.8272040667432918
11,1.7112142783382118
12,1.6087325734483895
13,1.5194779461629127
14,1.4430277589751568
15,1.3788177427827848
16,1.3261419968877441
17,1.28415298899627
18,1.2518615552188832
19,1.2281369000703926
20,1.211706596469893
21,1.201156585740765
22,1.1949311776106772
23,1.191333050211584
24,1.1885232500797258
25,1.1845211921556298
26,1.177204659784112
27,1.1643098047142706
28,1.1434311470994958
29,1.1120215754974585
30,1.0673923468701219
31,1.0067130865837308
32,0.9270117884088207
33,0.8137785587340705
34,0.8078945117422096
35,0.8008061934689708
36,0.792609830260854
37,0.7834016484643622
38,0.7732778744259949
39,0.7623347344922546
40,0.7506684550096423
41,0.7383752623246587
42,0.7255513827838056
43,0.7122930427335836
44,0.6986964685204957
45,0.6848578864910403
46,0.6708735229917215
47,0.656839604369039
48,0.6428523569694944
49,0.6290080071395884
50,0.6154027812258229
51,0.6021329055746999
52,0.5892946065327185
53,0.5769841104463821
54,0.5652976436621913
55,0.5543314325266464
56,0.5441817033862497
57,0.5349446825875015
58,0.5267165964769047
59,0.5195936714009588
60,0.5136721337061669
61,0.5090482097390285
62,0.5058181258460449
63,0.504078108373719
64,0.5039243836685503
65,0.466380538987196
66,0.4651934880077536
67,0.4640064370283111
68,0.46281938604886874
69,0.4616323350694263
70,0.46044528408998386
71,0.4592582331105415
72,0.458071182131099
73,0.4568841311516566
74,0.45569708017221416
75,0.4545100291927717
76,0.45332297821332934
77,0.4521359272338869
78,0.45094887625444446
79,0.449761825275002
80,0.4485747742955596
81,0.4473877233161172
82,0.44620067233667476
83,0.4450136213572323
84,0.4438265703777899
85,0.44263951939834745
86,0.44145246841890506
87,0.4402654174394626
88,0.4390783664600202
89,0.43789131548057775
90,0.4367042645011353
91,0.4355172135216929
92,0.4343301625422505
93,0.43314311156280805
94,0.4319560605833656
95,0.43076900960392317
96,0.4295819586244808
97,0.42839490764503835
98,0.4272078566655959
99,0.42602080568615347
100,0.42483375470671103
101,0.42364670372726865
102,0.4224596527478262
103,0.42127260176838377
104,0.42008555078894133
105,0.4188984998094989
106,0.4177114488300565
107,0.416524397850614
108,0.41533734687117163
109,0.4141502958917292
110,0.41296324491228675
111,0.41177619393284437
112,0.41058914295340193
113,0.4094020919739595
114,0.40821504099451705
115,0.4070279900150746
116,0.40584093903563223
117,0.4046538880561898
118,0.40346683707674735
119,0.4022797860973049
120,0.4010927351178625
121,0.3999056841384201
122,0.39871863315897765
123,0.3975315821795352
124,0.3963445312000928
125,0.39515748022065034
126,0.39397042924120795
127,0.3927833782617655
128,0.3915963272823231
129,0.39040927630288064
130,0.3892222253234382
131,0.3880351743439958
132,0.3868481233645534
133,0.38566107238511094
134,0.3844740214056685
135,0.38328697042622606
136,0.3820999194467837
137,0.38091286846734124
138,0.3797258174878988
139,0.37853876650845636
140,0.3773517155290139
141,0.37616466454957154
142,0.3749776135701291
143,0.37379056259068666
144,0.3726035116112442
145,0.3714164606318018
146,0.3702294096523594
147,0.36904235867291696
148,0.3678553076934745
149,0.36666825671403214
150,0.36548120573458964
151,0.36429415475514726
152,0.3631071037757048
153,0.3619200527962624
154,0.36073300181682
155,0.3595459508373775
156,0.3583588998579351
157,0.3571718488784927
158,0.35598479789905024
159,0.35479774691960786
160,0.35361069594016536
161,0.352423644960723
162,0.35123659398128054
163,0.3500495430018381
164,0.3488624920223957
165,0.3476754410429532
166,0.34648839006351084
167,0.3453013390840684
168,0.34411428810462596
169,0.3429272371251836
170,0.3417401861457411
171,0.3405531351662987
172,0.33936608418685626
173,0.3381790332074138
174,0.34210278013236756
175,0.3418748231279675
176,0.3416468661235675
177,0.34141890911916745
178,0.3411909521147674
179,0.3409629951103674
180,0.34073503810596734
181,0.3405070811015673
182,0.34027912409716726
183,0.3400511670927672
184,0.3398232100883672
185,0.33959525308396715
186,0.3393672960795671
187,0.3391393390751671
188,0.33891138207076704
189,0.338683425066367
190,0.33845546806196697
191,0.338227511057567
192,0.33799955405316695
193,0.3377715970487669
194,0.3375436400443669
195,0.33731568303996684
196,0.3370877260355668
197,0.33685976903116677
198,0.33663181202676673
199,0.3364038550223667
200,0.33617589801796666
201,0.3359479410135666
202,0.3357199840091666
203,0.33549202700476655
204,0.3352640700003665
205,0.3350361129959665
206,0.33480815599156644
207,0.3345801989871664
208,0.33435224198276636
209,0.3341242849783663
210,0.3338963279739663
211,0.33366837096956625
212,0.3334404139651662
213,0.3332124569607662
214,0.33298449995636614
215,0.3327565429519661
216,0.33252858594756607
217,0.33230062894316603
218,0.332072671938766
219,0.33184471493436596
220,0.3316167579299659
221,0.3313888009255659
222,0.33116084392116585
223,0.3309328869167658
224,0.3307049299123658
225,0.33047697290796574
226,0.3302490159035657
227,0.33002105889916566
228,0.32979310189476563
229,0.3295651448903656
230,0.32933718788596555
231,0.3291092308815655
232,0.3288812738771655
233,0.32865331687276544
234,0.3284253598683654
235,0.32819740286396537
236,0.32796944585956533
237,0.3277414888551653
238,0.32751353185076526
239,0.3272855748463652
240,0.3270576178419652
241,0.32682966083756515
242,0.3266017038331651
243,0.3263737468287651
244,0.32614578982436504
245,0.325917832819965
246,0.32568987581556497
247,0.32546191881116493
248,0.3252339618067649
249,0.32500600480236486
250,0.3247780477979648
251,0.3245500907935648
252,0.32432213378916475
253,0.32409417678476476
254,0.32386621978036473
255,0.3236382627759647
256,0.32341030577156465
257,0.3231823487671646
258,0.3229543917627646
259,0.32272643475836454
260,0.3224984777539645
261,0.32227052074956447
262,0.32204256374516443
