,Rnd,Pick,Tm,Player,Pos,Age,Yrs,Yrs_Starter,wAV,dAV,Games,College,Drafted,wAVpG,dAVpG,Cap,AV_percentile,fit_wAVpG
187,6,188,IND,Chris Rucker,DB,22,1,0,2,2,15,Michigan St.,2011,0.13333333333333333,0.13333333333333333,0.338911382070767,46.0,0.11982736411172495
189,6,190,SFO,Colin Jones,DB,23,9,0,12,1,137,TCU,2011,0.08759124087591241,0.0072992700729927005,0.3384554680619669,32.0,0.1189544628024114
197,6,198,NYG,Tyler Sash,DB,23,2,0,1,1,23,Iowa,2011,0.043478260869565216,0.043478260869565216,0.3366318120267667,16.6,0.1151133167723612
205,7,206,BUF,Justin Rogers,DB,23,5,0,4,4,39,Richmond,2011,0.10256410256410256,0.10256410256410256,0.3348081559915664,36.3,0.11059337767270283
206,7,207,CIN,Korey Lindsey,DB,22,0,0,0,0,0,Southern Illinois,2011,0.0,0.0,0.3345801989871664,7.9,0.10997272025449467
212,7,213,WAS,Brandyn Thompson,DB,21,1,0,1,1,6,Boise St.,2011,0.16666666666666666,0.16666666666666666,0.3332124569607662,54.9,0.105956322218619
215,7,216,STL,Mikail Baker,DB,24,0,0,0,0,0,Baylor,2011,0.0,0.0,0.332528585947566,7.9,0.10374611019794011
218,7,219,NWE,Malcolm Williams,DB,23,2,0,0,0,4,TCU,2011,0.0,0.0,0.3318447149343659,7.9,0.10139001711074402
221,7,222,TAM,Anthony Gaitor,DB,22,2,0,1,1,12,Florida International,2011,0.08333333333333333,0.08333333333333333,0.3311608439211658,29.8,0.09887963865851374
228,7,229,STL,Jonathan Nelson,DB,23,1,0,1,0,2,Oklahoma,2011,0.5,0.0,0.3295651448903656,97.7,0.09237488096366603
234,7,235,MIA,Jimmy Wilson,DB,25,5,1,12,9,73,Montana,2011,0.1643835616438356,0.1232876712328767,0.3281974028639653,54.0,0.08601345554400802
247,7,248,CLE,Eric Hagg,DB,21,2,0,3,3,22,Nebraska,2011,0.13636363636363635,0.13636363636363635,0.3252339618067649,46.8,0.06940846119754013
249,7,250,SFO,Curtis Holcomb,DB,23,0,0,0,0,0,Florida A&M,2011,0.0,0.0,0.3247780477979648,7.9,0.06647842168776974
250,7,251,TEN,Tommie Campbell,DB,23,4,0,4,4,44,Pittsburgh,2011,0.09090909090909091,0.09090909090909091,0.3245500907935648,33.1,0.06497336927086783
259,1,6,DAL,Morris Claiborne,DB,22,8,5,25,13,85,LSU,2012,0.29411764705882354,0.15294117647058825,2.426907067884444,84.5,0.38650585775928104
